Date,User,IsVerified,Tweet,Likes,RT,User_location
,Atul Kumar,False,@me_sourish_ @HinduAmerican @ankitakashyapp_ @paulagnimitra1 @davidfrawleyved @monidipadey @DetheEsha @SudhanidhiB… https://t.co/ONZp0qaqXA,0,0,
,장흥순,False,@bittorrent_ind @BitTorrent @justinsuntron @rainfinancial @WatcherGuru @apenftorg @rovercrc @binance @trondao… https://t.co/TAXQIj37DM,0,0,
,सर्व प्रिय,False,@MANAVSINGH_IND @LBKoudilya 😂😂good one,0,0,"Seattle, WA"
,Aryan,False,@truthseeker793 @AminaaKausar @JhaSanjay No one practicing muslim depend on online Quran and Hadith because 99% of… https://t.co/ykfpaDu87C,0,0,
,Ravindra Panchal (विश्वब्राह्मण),False,@TiredBhiim @assampolice @Uppolice @HinduITCell These two culprits should be punished hard and jailed for their hat… https://t.co/WlmmKgLrhb,0,0,"New Delhi, India"
,Appaiah,False,@ajitdatta @Shehzad_Ind @navikakumar Kodagu district in Karnataka have elected @BJP4Karnataka from Gram Panchayat t… https://t.co/08jt93ykWj,0,0,
,Atul Kumar,False,@me_sourish_ @HinduAmerican @ankitakashyapp_ @paulagnimitra1 @davidfrawleyved @monidipadey @DetheEsha @SudhanidhiB… https://t.co/pJU6pyA4Xc,0,0,
,Varun 🌊,False,"@Shehzad_Ind There's always an exception @Shehzad_Ind 
PS: I am from MP https://t.co/D4k3vTfo69",0,0,Bharatvarsh 🇮🇳
,Pawan Tomar🇮🇳,False,@PoojaAS__Ind God bless you,0,0,🇮🇳🇮🇳INDIA🇮🇳🇮🇳
,Gautam,False,"@INDmoneyApp 

@RBI @RBIsays @CNBCTV18Live @CRED_club #fake #fraud #Billionaire #unicorn #ipo 
Came across another… https://t.co/BY06D3LaMl",0,0,
,Biplab Das 🇮🇳,False,@RBI My Mrs. made a NEFT from @TheOfficialSBI to @YESBANK on 01.04.2022 but the amount still not credited to benefi… https://t.co/gavH5LoBbc,0,0,"Kolkata, India"
,Ankita #IstandWithTajinderBagga,False,@Shehzad_Ind Cool 😎,0,0,"West Bengal, India"
,Dr Neeraj Shukla🇮🇳,False,@NavinBharatIND @ThePranshu_IND Do Self Respect..,0,0," इंद्रप्रस्थ, भारत"
,Pooja Agrawal S. Singhal 🇮🇳,False,Thank you 🙏🙏 https://t.co/M8SPCUJVMj,1,0,"Rajasthan,Jodhpur, India"
,TMJ - IND Manuf Jobs,False,"If you're looking for work in #Columbus, IN, check out this #Manufacturing job via the link in our bio: Production Associate at Adecco",0,0,"Indianapolis, IN"
,Aniruddha,False,"@RadharamnDas @ASIGoI @MinOfCultureGoI @kishanreddybjp @PMOIndia @narendramodi @KapilMishra_IND We must ask , did… https://t.co/ZHR7zarny6",0,0,Swadesho bhuvana trayam 
,Shyam Raj Mishra ♛ 🇮🇳,False,"@Shehzad_Ind Awesome pic bhaiya ji 🙏🌹🙏

Follow back me brother🌹🙏
I waited for a long time",0,0,"Hardoi, India"
,"""Social Entrepreneur-Being social is important""",False,"@TimesNow @Shehzad_Ind @thenewshour @navikakumar Nation we R state sponsored Terror Terrorism 
Burning question the… https://t.co/LDmTRxU38R",0,0,
,Bob Janner 🇬🇧,False,@Matt77184586 @ind_structures @toryboypierce Strange how when it suits the countries are looked at indevidually. No… https://t.co/xH4BwuXBUa,0,0,
,Average_Mishthanna_Masticater,False,"@TheRajarshi @Aban__Ind ""Famous author"" Modhukobi na?
RKP had mentioned both M and X as nimnomarger shadhona. Is that true?",0,0,
,Shyam Raj Mishra ♛ 🇮🇳,False,"@Shehzad_Ind Follow back me brother🌹🙏
I waited for a long time",0,0,"Hardoi, India"
,Pankaj Kudiya,False,"Happy birthday @PoojaAS__Ind ji 
🎂💐💐",1,0,"Sangam Vihar, New Delhi"
,Parag Bhandari,False,@shubh_ind True. Congress' present member=BJP's future member.,1,0,"Dhoom Manikpur Village Dadri, "
,Thakur Saahab,False,@shantanug_ @maha_tourism @poonam_mahajan @Madhukeshwar @tuhins @NidhiKamdarMH @malhar_pandey @SushantBSinha… https://t.co/rLJTLe7Bb2,0,0,"New Delhi, India"
,fran,False,@Nivistia @mottledmoth68 @Rollow37 @AnonOpsSE 😂 ud needs india more than Europe to counter china kid !! china isn't… https://t.co/9pGDuiWjZQ,0,0,
,Manish Kapoor,False,@shantanug_ @maha_tourism @poonam_mahajan @Madhukeshwar @tuhins @NidhiKamdarMH @malhar_pandey @SushantBSinha… https://t.co/B4hM0lEaDm,0,0,
,अबोध बालक™🇮🇳,False,@PoojaAS__Ind Cakelcome 🙏😂🙏🎂,1,0,Now on mars
,Shiv Khush Dil,False,"@Shyamal890 @hrushb I respect your opinion.
As per my understanding,
We were talking here about linkedin.
Check bet… https://t.co/nHwNhoY2QB",0,0,"Bengaluru, India"
,Godwin Enakhena,False,"@toki81281 @Spectra_Ind_Ltd Local or continental, all join",0,0,"Lagos, Nigeria"
,Pooja Agrawal S. Singhal 🇮🇳,False,Thank you https://t.co/MBzmUWZTsl,0,1,"Rajasthan,Jodhpur, India"
,Pureblooded Marmot Respecter🌲🦅❄🏔 🌊,False,@AhComfy It's even worse... she's ind*g*nous,3,0,"Sainte-Même, France"
