Date,User,IsVerified,Tweet,Likes,RT,User_location
6/8/22,Molson Coors Beverage Company Class B,,"🧵Since its inception, @VizzySeltzerCA has been an ally of the Queer community in Canada, focusing on bringing visibility to LGBTQ2S+ artists and offering resources to the community through initiatives like the Vizzybility Project, a grant program for LGBTQ2S+ artists, 1/4",0,0,
2/14/22,Oracle Corporation,,💯 on the @HRC Foundation’s 2022 Corporate Equality Index 🏳️‍🌈 “best place to work for LGBTQ+ equality”@tracipwade discusses our latest recognition in creating a more equitable workplace.https://social.ora.cl/6018KRBg22 #CEI2022,0,0,
6/29/20,Google,,"📈 This week in Search: We’re looking for ways to authentically represent ourselves and support one another. From “blm pride flag” to “black trans protest donation fund,” here’s what the world searched for this Pride month.",0,0,
12/29/21,Fiserv,,🏆Forbes Best Employer for Diversity 🏆Best Place to Work for LGBTQ Equality 🏆Best Place to Work for Disability and Inclusion These are a few of the awards Fiserv won in 2021 that exemplify how we celebrate originality. Learn more: https://fisv.co/3pE3RWI?cid=twitter #FISVProud,0,0,
6/16/20,Google,,"🎙️ Selly Thiam, a queer Senegalese-American journalist, is on a mission to change how the LGBTQ+ community is represented in Africa. Using Search and Translate, Selly and the @Afroqueerpod team share local stories. Learn more about their work → http://goo.gle/afroqueer",0,0,
12/4/23,Nasdaq Inc.,,"🎊 We are proud to share @Nasdaq's inclusion in the Human Rights Campaign (@HRC) Foundation’s 2023-2024 Corporate Equality Index (CEI), receiving a perfect score in the 5th consecutive edition of the survey in recognition of our LGBTQ+ inclusive workplace. http://spr.ly/6019RHVb9",0,0,
6/1/23,General Electric Company,,"🏳️‍🌈🎉 It's time to celebrate #PrideMonth! 🎉🏳️‍🌈Meet Lauren Duncan, @GE_Aerospace's GE9X Product Cost Leader & a transgender advocate within GE’s Pride Alliance. Be inspired by her powerful story and witness the positive change she's making. #GEProud",0,0,
6/1/22,Bath & Body Works Inc.,,"🏳️‍🌈🏳️‍⚧️👏 Happy Pride Month 👏 🏳️‍⚧️🏳️‍🌈 We're proud to support the It Gets Better Project & their mission to uplift, empower & connect LGBTQ+ youth across the globe with a $150,000 donation. 📸archer2453, shuanes88, danny_phantom7",0,0,
6/1/23,Bath & Body Works Inc.,,🏳️‍🌈🏳️‍⚧️ Happy Pride Month!!! ❤️ How are you showing your support this year?,0,0,
7/9/22,Jacobs Solutions Inc.,,"🏳️‍🌈🏳️‍⚧️ #OurJacobs #pride 2022 had it all - parades. professional development, pet art, & even 🥧 in the face of our senior leaders!See for yourself: http://jcob.co/PjCe50JR1b5 #PrideMonth",0,0,
6/7/22,FirstEnergy Corp.,,"🏳️‍🌈🌈🥳 Happy #PrideMonth! In celebration, the FirstEnergy Foundation is proud to serve as the title sponsor of the upcoming Akron Equity March! Learn more and register: https://bit.ly/3aAu3fu Take a look at our employee involvement in last year's march ⤵️",0,0,
9/30/19,International Paper Company,,🏳️‍🌈We are proud to support Memphis Pride Fest to celebrate the diversity of all employees and our commitment to diversity and inclusion. 🏳️‍🌈 @MidsouthPride #diversityandinclusion #proudtobeip,0,0,
6/13/23,General Electric Company,,"🏳️‍🌈Celebrating Inclusivity 🏳️‍🌈At GE, we're fostering an inclusive work environment and celebrating the power of inclusivity and allyship! Check out our latest GE Report featuring inspiring stories from our Pride Alliance members. #PrideMonth",0,0,
6/8/22,Citizens Financial Group Inc.,,"🏳️‍🌈 🏳️‍⚧  Happy Pride! Celebrate with us as Citizens colleagues share how they are ready to live authentically. An inclusive culture means supporting customers, colleagues, and community partners of all sexual orientations, genders, and races. #Pride2022",0,0,
5/30/23,Dollar Tree Inc.,,🏳️‍🌈 We're so proud to carry an array of Pride items to help you show support for the LGBTQIA+ community 🏳️‍🌈 http://DT.social/QJPN50OxZAQ,0,0,
8/8/23,Sempra Energy,,"🏳️‍🌈 Take us back to last month's #SDPride Parade! Participating in community events like the parade reflect a deeper commitment to supporting our LGBTQ employees and community through our values: do the right thing, champion people and shape the future.",0,0,
7/19/23,Sempra Energy,,"🏳️‍🌈 Powered with PRIDE 🏳️‍🌈 @SDGE and Sempra employees joined more than 250,000 people to celebrate the San Diego Pride parade this past weekend. From our Sempra family to yours, #HappyPride! #SDPride",0,0,
6/15/20,Under Armour,,"🏳️‍🌈 Now & Always 🏳️‍🌈  Show the world who you are, who you love, or your allyship! Check out some of our top picks from this year's #Pride collections❤️🧡💛💚💙💜 via @OldNavy, @LEVIS @newbalance @adidas &amp; @UnderArmour",0,0,
5/24/21,Bath & Body Works Inc.,,🏳️‍🌈 Love Always Wins 🏳️‍🌈 Bath & Body Works is proud to donate $1 Million to support the @HRC’s work to further equality through programs that allow LGBTQ+ individuals & their allies to use their voices & stories to make positive change within their communities.,0,0,
8/26/22,FirstEnergy Corp.,,"🏳️‍🌈 As part of our ongoing support for the LGBTQ+ community, the FirstEnergy Foundation is the proud presenting sponsor of this year's @akronpridefest Equity March. We hope you'll celebrate with us tomorrow in downtown Akron. More details: https://akronpridefestival.org/home",0,0,
6/1/23,FirstEnergy Corp.,,"🌈🎉 Happy #PrideMonth! To celebrate, employees from our Alternate Current employee business resource group will spread love and support at pride events throughout our footprint as part of their goal to enhance the health and well-being of the LGBTQ+ community.",0,0,
6/13/23,Exelon Corporation,,"🌈 We are powered by love and #Pride from our outstanding employees and their leadership! Meet Paul, our manager of #EnergyEfficiency programs, who also serves as the secretary for the Chicago chapter of  @Exelon Pride, an employee resource group. 🧵 1/2",0,0,
5/19/23,Bath & Body Works Inc.,,"🌈 Pride is HERE with our biggest collection ever inspired by the LGBTQIA+ community! 🌈 ​The Bath & Body Works Foundation is donating $100,000 to the It Gets Better Project's mission to uplift, empower, and connect LGBTQIA+ youth around the globe.",0,0,
9/13/23,Micron Technology Inc.,,"🌈 Micron was thrilled to join the Boise Pride Parade this year! We danced, we laughed and we celebrated love and acceptance for all. It was an unforgettable experience and we can't wait for next year's parade! 🏳️‍🌈 #MicronPride #BoisePride",0,0,
6/1/23,AvalonBay Communities Inc.,,🌈 It's Pride Month! Our Associate Rainbow Coalition has organized several virtual and in-person events to celebrate our LGBTQ+ associates. Residents are encouraged to join us in showing their pride in our #AVBPromoteYourPride photo contest. Learn more: http://avaloncommunities.com/live-out,0,0,
6/17/21,AES Corporation,,"🌈 If you’re able to come to work without thinking about how your identity or sexuality will be perceived, this means you have the opportunity and responsibility to ensure your colleagues who do feel welcomed, safe, heard and affirmed. #PrideMonth",0,0,
6/12/23,Synopsys Inc.,,"🌈 Happy #PrideMonth! 🏳️‍🌈Join us in celebrating diversity and inclusion at Synopsys. Our Pride Employee Resource Group in Austin is spreading love and unity, Check out these amazing photos capturing the spirit of the season! 📸 #LifeAtSynopsys #SynopsysPride 🌈",0,0,
6/10/21,AES Corporation,,🌈 Happy #PrideMonth! Let’s celebrate who we are no matter who we love.,0,0,
6/29/20,Under Armour,,🌈 Celebrating from home this year w my lo in our new @UnderArmour #Pride Ts & UA HOVR kicks #DowProud20 👟,0,0,
6/26/23,Leidos Holdings Inc.,,"🌈 Celebrating #VirtualPride 🌈 No matter where you are, #PrideMonth is a global celebration of the #LGBTQIA+ community and our #TeamLeidos colleagues from around the world have been embracing a kaleidoscope of inclusion 🏳️‍🌈 More on #LeidosInclusion ➡️ http://ms.spr.ly/6018gmyN8",0,0,
6/3/23,EPAM Systems,,"🌈 At EPAM, we stand strong as one, valuing collaboration and embracing our differences. Join us in celebrating #PrideMonth2023 as we proudly support the #LGBTQIA community. 🌈 #PrideMonth",0,0,
6/3/23,EPAM Systems Inc.,,"🌈 At EPAM, we stand strong as one, valuing collaboration and embracing our differences. Join us in celebrating #PrideMonth2023 as we proudly support the #LGBTQIA community. 🌈 #PrideMonth",0,0,
6/17/21,AES Corporation,,"🌈 @aes_mx has been named as one of the 25 most inclusive #energy companies in #Mexico by @energiahoy. This list identifies companies where people regardless of gender, sexual orientation and ethnicity can access high-growth job opportunities. https://bit.ly/3cJtQoN #PrideMonth",0,0,
6/28/22,Zoetis Inc. Class A,,Zoetis is committed to supporting a diverse workforce. We are proud to be recognized as one of the Best Places To Work For LGBTQ+ Equality in @HRC Foundation’s Corporate Equality Index! #CEI2022 https://bit.ly/3o7Padd,0,0,
6/3/19,Zions Bancorporation N.A.,,"Zions Bank employees participated in #Pride, including Steve Verno, the bank’s Senior Business Program Manager of Diversity, Equity and Inclusion, who is chairman of the board of directors of @EqualityUtah",0,0,
12/11/23,Zebra Technologies Corporation Class A,,"Zebra is proud to announce that we have received a score of 100 on the @HRC Foundation’s 2023-2024 Corporate Equality Index (CEI), awarding us the Equality 100 Award: Leader in LGBTQ+ Workplace Inclusion. http://social.zebra.com/6010iT2hA",0,0,
7/9/19,DTE Energy Company,,"Zachary Hurd, DTE Facilities contract manager, is a member and Developmental Chair of our Power of Pride employee resource group created for employees and allies of the #LGBTQ community. Find out how Zachary and other DTE employees are supporting others: http://ow.ly/kuGT50uR2Oc",0,0,
6/2/22,American Electric Power Company Inc.,,"Zach Shreffler, sr plant support specialist, says, “Building a better workplace starts with all of us. We all need to be the reason someone feels welcomed, seen, heard, valued, loved, & supported.” We're proud to support the LGBTQ+ community through our Employee Resource Group.",0,0,
6/30/21,BlackRock Inc.,,"Zach Buchwald, Head of our US & Canada Institutional Business, shares his personal experience during #PrideMonth w/ @FortuneMagazine & how the visible support of the financial industry paved the way for him to become an out leader & drive cultural change: http://ms.spr.ly/6019nujn1",0,0,
6/12/18,Goldman Sachs Group Inc.,,Z dumą wzięliśmy udział w tegorocznej Paradzie Równości w Warszawie #ParadaRownosci #paradarownosci2018 #PrideMonth,0,0,
6/20/23,LyondellBasell Industries NV,,"Yvonne Van Der Laan, EVP Circular & Low Carbon Solutions and True Colors LGBTQIA Employee Network Executive Sponsor says about #PrideMonth, ""Pride Month stands for all the values I strongly believe in: Professionalism, Respect, Integrity, Diversity and Excellence.""",0,0,
7/27/18,Yum! Brands Inc.,,"Yum! Brands’ unrivaled culture and talent have a direct impact on the performance of our brands and the success of our franchisees. We take pride in our values-driven, people-first culture, which is key to our goal of building a world with more Yum!.",0,0,
9/15/23,Yum! Brands Inc.,,Yum! Brands celebrates Hispanic/Latin Heritage Month with immense pride for the immeasurable positive impact of the community. At Yum! we know we’re stronger and better when there is room for everyone at our tables. #HispanicHeritageMonth,0,0,
4/14/19,Yum! Brands Inc.,,Yum! Brands believes in ALL people and we celebrate the contributions of the LGBTQ+ community and its allies. Click here to learn about the importance and impact of inclusion and allyship in the workplace and beyond. https://bit.ly/2XeGPZb,0,0,
6/25/21,United Airlines,,"Your strength and bravery inspires us all, Kayleigh. #Pride",0,0,
6/28/19,Equifax Inc.,,"You’re unique. You’re trailblazers. You’re passionate for change. In honor of #PrideMonth and the millions of diverse consumers that we serve, we celebrate the authentic you. Happy Pride.",0,0,
6/25/21,Xcel Energy Inc.,,"You. Us. Together.We are #Proud to be an ally of the LGBTQ+ community. This weekend, and always, let’s light the way to inclusivity. #LoveisLove #Pride #PrideMonth",0,0,
